"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"7342542795","808487","15739","19 sep 2023 05:12","39:22","2362","15-22","15,22","Dire","Shopify Rebellion","Cr1t-, Arteezy, Fly, SabeRLight-, Abed","Team Liquid","INSaNiA, Zai, Boxi, MiCKe, Nisha"
"7342539058","808485","15739","19 sep 2023 05:09","38:06","2286","15-31","15,31","Dire","Tundra Esports","Sneyking, 33, Topson, Nine, skiter","9Pandas","RAMZES666, Solo, Antares, MieRo', kiyotaka"
"7342527173","808484","15739","19 sep 2023 05:17","29:24","1764","10-39","10,39","Dire","Entity","Stormstormer, Fishman, Watson, ATF, suzuya","Talon","Jabz, Oli, Q, Mikoto, 23savage"
"7342392997","808465","15739","19 sep 2023 03:50","35:50","2150","20-29","20,29","Dire","Evil Geniuses","Panda, Chris Luck, Matthew, Wisper, Pakazs","Team Spirit","Larl, Miposhka, Mira, Collapse, Yatoro"
"7342376219","808464","15739","19 sep 2023 03:38","41:58","2518","37-13","37,13","Radiant","BetBoom Team","Nightfall, Save-, Pure, TORONTOTOKYO, Gpk","Gaimin Gladiators","tOfu, Seleri, Ace, DyrachYO, CC&C"
"7342374299","808463","15739","19 sep 2023 03:39","38:38","2318","15-38","15,38","Dire","OG","MinD ContRoL, Ceb, bzm, Yuragi, Kitrak","PSG.Quest","Tobi, No!ob, OmaR, Shad, Kaori"
"7342275176","808465","15739","19 sep 2023 02:39","38:57","2337","18-35","18,35","Dire","Evil Geniuses","Panda, Chris Luck, Matthew, Wisper, Pakazs","Team Spirit","Larl, Miposhka, Mira, Collapse, Yatoro"
"7342269608","808464","15739","19 sep 2023 02:34","30:41","1841","39-5","39,5","Radiant","BetBoom Team","Nightfall, Save-, Pure, TORONTOTOKYO, Gpk","Gaimin Gladiators","tOfu, Seleri, Ace, DyrachYO, CC&C"
"7342264565","808463","15739","19 sep 2023 02:27","34:47","2087","8-24","8,24","Dire","PSG.Quest","Tobi, No!ob, OmaR, Shad, Kaori","OG","MinD ContRoL, Ceb, bzm, Yuragi, Kitrak"
"7342166210","808448","15739","19 sep 2023 01:19","31:33","1893","33-12","33,12","Radiant","Shopify Rebellion","Cr1t-, Arteezy, Fly, SabeRLight-, Abed","9Pandas","RAMZES666, Solo, Antares, MieRo', kiyotaka"
"7342155624","808449","15739","19 sep 2023 01:05","38:01","2281","25-31","25,31","Dire","Entity","Stormstormer, Fishman, Watson, ATF, suzuya","Tundra Esports","Sneyking, 33, Topson, Nine, skiter"
"7342153416","808450","15739","19 sep 2023 01:04","47:38","2858","16-45","16,45","Dire","Talon","Jabz, Oli, Q, Mikoto, 23savage","Team Liquid","INSaNiA, Zai, Boxi, MiCKe, Nisha"
"7342093582","808450","15739","19 sep 2023 11:58","36:57","2217","34-19","34,19","Radiant","Talon","Jabz, Oli, Q, Mikoto, 23savage","Team Liquid","INSaNiA, Zai, Boxi, MiCKe, Nisha"
"7342093543","808449","15739","19 sep 2023 11:55","35:49","2149","39-17","39,17","Radiant","Tundra Esports","Sneyking, 33, Topson, Nine, skiter","Entity","Stormstormer, Fishman, Watson, ATF, suzuya"
"7342088747","808448","15739","19 sep 2023 11:58","48:12","2892","45-34","45,34","Radiant","Shopify Rebellion","Cr1t-, Arteezy, Fly, SabeRLight-, Abed","9Pandas","RAMZES666, Solo, Antares, MieRo', kiyotaka"
"7341558435","808325","15739","18 sep 2023 10:25","41:37","2497","24-7","24,7","Radiant","Evil Geniuses","Panda, Chris Luck, Matthew, Wisper, Pakazs","PSG.Quest","Tobi, No!ob, OmaR, Shad, Kaori"
"7341523614","808317","15739","18 sep 2023 09:46","38:32","2312","41-13","41,13","Radiant","Gaimin Gladiators","tOfu, Seleri, Ace, DyrachYO, CC&C","OG","MinD ContRoL, Ceb, bzm, Yuragi, Kitrak"
"7341497196","808304","15739","18 sep 2023 09:27","53:47","3227","35-29","35,29","Radiant","Team Spirit","Larl, Miposhka, Mira, Collapse, Yatoro","BetBoom Team","Nightfall, Save-, Pure, TORONTOTOKYO, Gpk"
"7341480496","808325","15739","18 sep 2023 09:07","42:30","2550","24-12","24,12","Radiant","PSG.Quest","Tobi, No!ob, OmaR, Shad, Kaori","Evil Geniuses","Panda, Chris Luck, Matthew, Wisper, Pakazs"
"7341448039","808317","15739","18 sep 2023 08:40","31:55","1915","33-14","33,14","Radiant","OG","MinD ContRoL, Ceb, bzm, Yuragi, Kitrak","Gaimin Gladiators","tOfu, Seleri, Ace, DyrachYO, CC&C"
"7341386014","808304","15739","18 sep 2023 07:55","59:44","3584","42-38","42,38","Radiant","BetBoom Team","Nightfall, Save-, Pure, TORONTOTOKYO, Gpk","Team Spirit","Larl, Miposhka, Mira, Collapse, Yatoro"
"7341342618","808280","15739","18 sep 2023 07:27","56:41","3401","40-24","40,24","Radiant","Entity","Stormstormer, Fishman, Watson, ATF, suzuya","Team Liquid","INSaNiA, Zai, Boxi, MiCKe, Nisha"
"7341290604","808277","15739","18 sep 2023 06:56","1:03:12","3792","43-30","43,30","Radiant","Shopify Rebellion","Cr1t-, Arteezy, Fly, SabeRLight-, Abed","Tundra Esports","Sneyking, 33, Topson, Nine, skiter"
"7341245127","808276","15739","18 sep 2023 06:25","45:20","2720","31-26","31,26","Radiant","9Pandas","RAMZES666, Solo, Antares, MieRo', kiyotaka","Talon","Jabz, Oli, Q, Mikoto, 23savage"
"7341215119","808280","15739","18 sep 2023 06:10","45:19","2719","32-19","32,19","Radiant","Entity","Stormstormer, Fishman, Watson, ATF, suzuya","Team Liquid","INSaNiA, Zai, Boxi, MiCKe, Nisha"
"7341168996","808277","15739","18 sep 2023 05:34","50:06","3006","20-46","20,46","Dire","Tundra Esports","Sneyking, 33, Topson, Nine, skiter","Shopify Rebellion","Cr1t-, Arteezy, Fly, SabeRLight-, Abed"
"7341135812","808276","15739","18 sep 2023 05:20","33:08","1988","21-26","21,26","Dire","Talon","Jabz, Oli, Q, Mikoto, 23savage","9Pandas","RAMZES666, Solo, Antares, MieRo', kiyotaka"
"7341055005","808262","15739","18 sep 2023 04:28","49:41","2981","31-30","31,30","Radiant","OG","MinD ContRoL, Ceb, bzm, Yuragi, Kitrak","Evil Geniuses","Panda, Chris Luck, Matthew, Wisper, Pakazs"
"7340998716","808265","15739","18 sep 2023 04:01","39:36","2376","47-26","47,26","Radiant","Team Spirit","Larl, Miposhka, Mira, Collapse, Yatoro","Gaimin Gladiators","tOfu, Seleri, Ace, DyrachYO, CC&C"
"7340971958","808260","15739","18 sep 2023 03:51","40:10","2410","32-12","32,12","Radiant","BetBoom Team","Nightfall, Save-, Pure, TORONTOTOKYO, Gpk","PSG.Quest","Tobi, No!ob, OmaR, Shad, Kaori"
"7340878473","808265","15739","18 sep 2023 02:48","37:20","2240","32-11","32,11","Radiant","Team Spirit","Larl, Miposhka, Mira, Collapse, Yatoro","Gaimin Gladiators","tOfu, Seleri, Ace, DyrachYO, CC&C"
"7340863286","808262","15739","18 sep 2023 02:42","1:16:40","4600","32-47","32,47","Dire","Evil Geniuses","Panda, Chris Luck, Matthew, Wisper, Pakazs","OG","MinD ContRoL, Ceb, bzm, Yuragi, Kitrak"
"7340848054","808260","15739","18 sep 2023 02:31","43:46","2626","40-11","40,11","Radiant","BetBoom Team","Nightfall, Save-, Pure, TORONTOTOKYO, Gpk","PSG.Quest","Tobi, No!ob, OmaR, Shad, Kaori"
"7340754091","808246","15739","18 sep 2023 01:20","38:03","2283","23-21","23,21","Radiant","9Pandas","RAMZES666, Solo, Antares, MieRo', kiyotaka","Team Liquid","INSaNiA, Zai, Boxi, MiCKe, Nisha"
"7340747836","808243","15739","18 sep 2023 01:13","30:18","1818","29-9","29,9","Radiant","Tundra Esports","Sneyking, 33, Topson, Nine, skiter","Talon","Jabz, Oli, Q, Mikoto, 23savage"
"7340745014","808245","15739","18 sep 2023 01:18","44:51","2691","22-35","22,35","Dire","Shopify Rebellion","Cr1t-, Arteezy, Fly, SabeRLight-, Abed","Entity","Stormstormer, Fishman, Watson, ATF, suzuya"
"7340677613","808246","15739","18 sep 2023 12:13","35:08","2108","30-20","30,20","Radiant","9Pandas","RAMZES666, Solo, Antares, MieRo', kiyotaka","Team Liquid","INSaNiA, Zai, Boxi, MiCKe, Nisha"
"7340676064","808245","15739","18 sep 2023 11:57","45:19","2719","17-35","17,35","Dire","Entity","Stormstormer, Fishman, Watson, ATF, suzuya","Shopify Rebellion","Cr1t-, Arteezy, Fly, SabeRLight-, Abed"
